iter	Passed	Remaining
0	78	77958
1	91	45692
2	104	34862
3	117	29249
4	120	24054
5	132	22029
6	144	20551
7	156	19443
8	168	18600
9	181	17920
10	192	17337
11	204	16836
12	216	16411
13	228	16107
14	240	15817
15	253	15560
16	265	15328
17	276	15100
18	288	14905
19	301	14753
20	313	14606
21	325	14457
22	332	14132
23	345	14035
24	357	13936
25	369	13833
26	381	13731
27	392	13640
28	404	13556
29	416	13475
30	428	13400
31	440	13325
32	452	13253
33	464	13184
34	476	13124
35	487	13066
36	499	13008
37	512	12965
38	524	12919
39	536	12870
40	548	12826
41	560	12775
42	572	12730
43	583	12680
44	595	12644
45	608	12614
46	620	12574
47	631	12526
48	643	12487
49	655	12452
50	667	12414
51	679	12387
52	690	12345
53	702	12308
54	714	12272
55	725	12237
56	737	12204
57	749	12177
58	761	12149
59	773	12123
60	785	12093
61	797	12068
62	809	12039
63	821	12015
64	833	11994
65	845	11961
66	857	11937
67	869	11911
68	880	11881
69	892	11855
70	904	11828
71	915	11802
72	927	11778
73	939	11758
74	951	11734
75	963	11711
76	975	11688
77	987	11668
78	998	11645
79	1010	11625
80	1023	11608
81	1035	11586
82	1046	11565
83	1058	11547
84	1070	11526
85	1082	11500
86	1094	11482
87	1106	11468
88	1119	11455
89	1144	11573
90	1156	11553
91	1168	11532
92	1179	11507
93	1191	11486
94	1203	11463
95	1215	11443
96	1227	11424
97	1239	11404
98	1250	11383
99	1262	11364
100	1274	11343
101	1286	11323
102	1298	11307
103	1310	11288
104	1322	11270
105	1334	11252
106	1346	11235
107	1358	11219
108	1370	11205
109	1383	11191
110	1395	11174
111	1407	11160
112	1419	11145
113	1432	11130
114	1444	11115
115	1456	11096
116	1467	11078
117	1479	11061
118	1492	11046
119	1504	11031
120	1516	11017
121	1528	11001
122	1540	10985
123	1552	10968
124	1564	10952
125	1576	10937
126	1588	10921
127	1601	10909
128	1613	10894
129	1625	10879
130	1637	10862
131	1649	10848
132	1662	10835
133	1674	10820
134	1686	10805
135	1698	10792
136	1711	10778
137	1723	10763
138	1738	10766
139	1751	10756
140	1763	10743
141	1775	10729
142	1788	10716
143	1800	10702
144	1812	10687
145	1824	10671
146	1836	10655
147	1848	10640
148	1860	10624
149	1872	10608
150	1883	10592
151	1895	10576
152	1908	10563
153	1920	10548
154	1932	10533
155	1943	10517
156	1955	10501
157	1967	10485
158	1979	10471
159	1991	10457
160	2003	10442
161	2015	10428
162	2027	10413
163	2039	10398
164	2052	10384
165	2064	10370
166	2076	10356
167	2087	10340
168	2100	10326
169	2112	10315
170	2124	10301
171	2136	10287
172	2149	10275
173	2161	10260
174	2173	10245
175	2185	10231
176	2197	10217
177	2209	10203
178	2221	10188
179	2233	10173
180	2245	10158
181	2257	10144
182	2268	10129
183	2281	10115
184	2293	10102
185	2305	10089
186	2317	10074
187	2329	10061
188	2341	10047
