iter	Passed	Remaining
0	56	55996
1	56	28167
2	56	18890
3	57	14239
4	57	11444
5	58	9612
6	58	8273
7	58	7298
8	59	6527
9	59	5909
10	60	5438
11	61	5024
12	61	4671
13	62	4375
14	62	4114
15	63	3882
16	63	3678
17	63	3487
18	64	3322
19	64	3175
20	65	3054
21	65	2926
22	66	2812
23	66	2706
24	66	2607
25	67	2521
26	67	2439
27	68	2361
28	68	2287
29	68	2220
30	69	2168
31	70	2134
32	70	2078
33	71	2029
34	71	1981
35	72	1935
36	72	1887
37	72	1845
38	73	1811
39	73	1773
40	74	1735
41	74	1700
42	74	1668
43	75	1641
44	75	1609
45	76	1579
46	76	1553
47	77	1529
48	77	1503
49	77	1481
50	78	1459
51	79	1441
52	79	1426
53	80	1405
54	80	1384
55	80	1363
56	81	1345
57	81	1326
58	82	1308
59	82	1293
60	83	1278
61	83	1264
62	84	1249
63	84	1235
64	84	1222
65	85	1208
66	85	1194
67	86	1180
68	86	1167
69	86	1153
70	87	1141
71	87	1129
72	87	1116
73	88	1104
74	88	1091
75	88	1080
76	89	1069
77	89	1059
78	89	1048
79	90	1039
80	90	1031
81	92	1030
82	92	1017
83	92	1012
84	93	1004
85	93	995
86	94	996
87	95	989
88	95	980
89	96	972
90	96	964
91	96	955
92	97	947
93	97	941
94	98	933
95	98	926
96	99	921
97	99	915
98	99	909
99	100	902
100	100	896
101	101	892
102	101	887
103	102	882
104	102	876
105	103	870
106	103	865
107	104	860
108	104	856
109	105	850
110	105	844
111	105	839
112	106	834
113	106	829
114	107	824
115	107	818
116	107	812
117	108	807
118	108	804
119	109	800
120	109	795
121	110	792
122	110	790
123	111	787
124	111	783
125	112	778
126	112	774
127	113	774
128	114	770
129	114	768
130	115	763
131	115	759
132	115	755
133	116	751
134	116	748
135	117	743
136	117	740
137	118	737
138	118	734
139	118	730
140	119	727
141	119	722
142	119	718
143	120	715
144	121	716
145	121	713
146	122	709
147	122	705
148	122	701
149	123	697
150	123	694
151	123	691
152	124	688
153	124	684
154	124	681
155	125	677
156	125	673
157	125	670
158	126	667
159	126	664
160	126	660
161	127	656
162	127	655
163	129	658
164	129	655
165	129	652
166	130	649
167	130	645
168	130	642
169	131	640
170	131	636
171	131	634
172	132	633
173	132	630
174	133	627
175	133	624
176	133	621
177	134	618
178	134	616
179	134	613
180	134	610
181	135	608
182	136	607
183	136	604
184	136	602
185	137	600
186	137	598
187	137	595
188	138	593
189	138	590
190	138	588
191	139	585
192	139	583
193	139	581
194	140	579
195	140	576
196	140	574
197	141	572
198	141	570
199	142	568
200	142	566
201	142	564
202	143	563
203	144	562
204	144	561
205	145	562
206	146	561
207	147	560
208	147	557
209	147	555
210	148	555
211	149	554
212	149	552
213	150	551
214	150	549
215	151	549
216	152	548
217	152	547
218	153	545
219	153	544
220	153	542
221	154	541
222	154	539
223	155	537
224	155	535
225	155	533
226	156	532
227	156	531
228	157	529
229	157	527
230	157	525
231	158	524
232	158	522
233	159	521
234	159	519
235	160	518
236	160	516
237	160	514
238	160	512
239	161	510
240	161	509
241	162	508
242	162	507
243	163	506
244	163	504
245	164	503
246	164	501
247	164	500
248	165	498
249	165	496
250	165	494
251	166	493
252	166	491
253	166	490
254	167	488
255	167	487
256	168	485
257	168	484
258	168	482
259	169	482
260	170	482
261	170	480
262	170	479
263	171	477
264	171	476
265	172	475
266	172	474
267	173	473
268	173	472
269	174	471
270	175	471
271	175	469
272	175	467
273	176	466
274	176	465
275	176	463
276	176	461
277	177	460
278	177	459
279	178	458
280	178	456
281	179	457
282	180	456
283	180	455
284	180	453
285	181	452
286	181	451
287	182	450
288	182	449
289	183	448
290	183	447
291	184	446
292	184	444
293	184	444
294	185	442
295	185	441
296	185	440
297	186	438
298	186	437
299	187	436
300	187	435
301	187	434
302	188	433
303	188	431
304	188	430
305	189	429
306	189	428
307	190	427
308	190	426
309	191	425
310	191	424
311	191	423
312	192	421
313	192	420
314	192	419
315	193	418
316	193	417
317	194	416
318	194	415
319	194	413
320	195	412
321	195	412
322	196	411
323	196	409
324	196	408
325	197	407
326	197	406
327	197	405
328	198	404
329	198	403
330	199	402
331	199	401
332	199	400
333	200	399
334	200	398
335	201	397
336	201	396
337	201	395
338	202	393
339	202	392
340	202	391
341	203	390
342	203	389
343	203	388
344	204	387
345	204	386
346	204	385
347	205	384
348	205	383
349	205	382
350	206	381
351	206	380
352	207	379
353	207	378
354	207	377
355	208	376
356	208	375
357	208	374
358	209	373
359	209	372
360	210	371
361	210	370
362	210	369
363	211	368
364	211	367
365	211	366
366	212	366
367	212	365
368	213	364
369	213	363
370	213	362
371	214	361
372	214	360
373	215	360
374	215	359
375	215	358
376	216	357
377	216	356
378	216	355
379	217	354
380	217	353
381	217	352
382	218	351
383	218	350
384	219	349
385	219	349
386	219	348
387	220	347
388	221	347
389	221	346
390	222	345
391	222	345
392	222	344
393	223	343
394	223	342
395	223	341
396	224	340
397	224	339
398	225	339
399	225	338
400	225	337
401	226	336
402	226	335
403	226	334
404	227	333
405	227	333
406	228	332
407	228	331
408	228	330
409	229	329
410	229	328
411	230	328
412	230	327
413	230	326
414	231	326
415	231	325
416	232	324
417	232	323
418	232	322
419	232	321
420	233	320
421	233	320
422	234	319
423	234	318
424	234	317
425	235	316
426	235	315
427	235	315
428	236	314
429	236	313
430	237	313
431	237	312
432	237	311
433	238	310
434	238	310
435	239	309
436	239	308
437	239	307
438	240	307
439	240	306
440	241	305
441	241	304
442	241	303
443	242	303
444	242	302
445	242	301
446	243	300
447	243	300
448	244	299
449	244	299
450	245	298
451	245	297
452	245	297
453	246	296
454	246	295
455	247	294
456	247	293
457	247	293
458	248	292
459	248	291
460	248	290
461	249	290
462	249	289
463	249	288
464	250	287
465	250	287
466	250	286
467	251	285
468	251	285
469	252	284
470	252	283
471	252	283
472	253	282
473	253	281
474	253	280
475	254	279
476	254	279
477	255	278
478	255	277
479	255	277
480	256	276
481	256	275
482	256	275
483	257	274
484	257	273
485	258	273
486	258	272
487	259	272
488	259	271
489	260	270
490	260	270
491	261	269
492	261	269
493	261	268
494	262	267
495	262	266
496	263	266
497	263	265
498	263	264
499	264	264
500	264	263
501	264	262
502	265	262
503	265	261
504	265	260
505	266	259
506	266	259
507	266	258
508	267	257
509	267	257
510	268	256
511	268	256
512	268	255
513	269	254
514	269	253
515	270	253
516	270	252
517	270	251
518	271	251
519	271	250
520	271	249
521	272	249
522	272	248
523	272	247
524	273	247
525	273	246
526	273	245
527	274	245
528	274	244
529	275	243
530	275	243
531	275	242
532	276	242
533	276	241
534	277	240
535	277	240
536	277	239
537	278	238
538	278	238
539	279	237
540	279	237
541	279	236
542	280	235
543	280	235
544	280	234
545	281	233
546	281	233
547	282	232
548	282	231
549	282	231
550	283	230
551	283	230
552	283	229
553	284	228
554	284	227
555	284	227
556	285	226
557	285	226
558	285	225
559	285	224
560	286	224
561	286	223
562	286	222
563	287	222
564	287	221
565	287	220
566	288	220
567	288	219
568	289	218
569	289	218
570	289	217
571	290	217
572	290	216
573	291	216
574	291	215
575	291	214
576	292	214
577	292	213
578	292	212
579	293	212
580	293	211
581	294	211
582	294	210
583	294	210
584	295	209
585	295	208
586	295	208
587	296	207
588	296	206
589	296	206
590	297	205
591	297	205
592	298	204
593	298	204
594	298	203
595	299	202
596	299	202
597	299	201
598	300	201
599	300	200
600	301	199
601	301	199
602	301	198
603	302	198
604	302	197
605	303	197
606	303	196
607	303	195
608	304	195
609	304	194
610	304	194
611	305	193
612	305	192
613	305	192
614	306	191
615	306	191
616	306	190
617	307	190
618	307	189
619	308	188
620	308	188
621	308	187
622	309	187
